ID	µØÍ¼±àºÅ »»ËãºóX×ø±ê  »»ËãºóY×ø±ê  »»ËãºóZ×ø±ê
13441    world    1686    310    1653
13441    world    1706    310    1653
13441    world    1726    310    1653
13441    world    1746    310    1653
13436    world    1326    310    1633
13436    world    1346    310    1633
13436    world    1366    310    1633
13436    world    1386    310    1633
13436    world    1406    310    1633
13436    world    1426    310    1633
13436    world    1446    310    1633
13436    world    1466    310    1633
13436    world    1486    310    1633
13436    world    1506    310    1633
13436    world    1526    310    1633
13436    world    1546    310    1633
13436    world    1566    310    1633
13436    world    1586    310    1633
13436    world    1606    310    1633
13436    world    1626    310    1633
13436    world    1646    310    1633
13436    world    1666    310    1633
13436    world    1686    310    1633
13436    world    1706    310    1633
13436    world    1726    310    1633
13436    world    1746    310    1633
13436    world    1326    310    1613
13436    world    1346    310    1613
13436    world    1366    310    1613
13436    world    1386    310    1613
13436    world    1406    310    1613
13436    world    1426    310    1613
13436    world    1446    310    1613
13436    world    1466    310    1613
13436    world    1486    310    1613
13436    world    1506    310    1613
13436    world    1526    310    1613
13436    world    1546    310    1613
13436    world    1566    310    1613
13436    world    1586    310    1613
13436    world    1606    310    1613
13436    world    1626    310    1613
13436    world    1646    310    1613
13436    world    1666    310    1613
13456    world    1686    310    1613
13436    world    1706    310    1613
13436    world    1726    310    1613
13436    world    1746    310    1613
13440    world    1326    310    1593
13440    world    1346    310    1593
13440    world    1366    310    1593
13440    world    1386    310    1593
13440    world    1406    310    1593
13440    world    1426    310    1593
13440    world    1446    310    1593
13440    world    1466    310    1593
13440    world    1486    310    1593
13440    world    1506    310    1593
13440    world    1526    310    1593
13440    world    1546    310    1593
13440    world    1566    310    1593
13440    world    1586    310    1593
13440    world    1606    310    1593
13440    world    1626    310    1593
13440    world    1646    310    1593
13440    world    1666    310    1593
13440    world    1686    310    1593
13440    world    1706    310    1593
13440    world    1726    310    1593
13440    world    1746    310    1593
13435    world    1326    310    1573
13435    world    1346    310    1573
13435    world    1366    310    1573
13435    world    1386    310    1573
13435    world    1406    310    1573
13435    world    1426    310    1573
13435    world    1446    310    1573
13435    world    1466    310    1573
13435    world    1486    310    1573
13435    world    1506    310    1573
13435    world    1526    310    1573
13435    world    1546    310    1573
13435    world    1566    310    1573
13435    world    1586    310    1573
13435    world    1606    310    1573
13435    world    1626    310    1573
13435    world    1646    310    1573
13435    world    1666    310    1573
13435    world    1686    310    1573
13435    world    1706    310    1573
13435    world    1726    310    1573
13435    world    1746    310    1573
13435    world    1326    310    1553
13435    world    1346    310    1553
13435    world    1366    310    1553
13435    world    1386    310    1553
13435    world    1406    310    1553
13435    world    1426    310    1553
13435    world    1446    310    1553
13435    world    1466    310    1553
13435    world    1486    310    1553
13435    world    1506    310    1553
13435    world    1526    310    1553
13435    world    1546    310    1553
13435    world    1566    310    1553
13435    world    1586    310    1553
13435    world    1606    310    1553
13435    world    1626    310    1553
13435    world    1646    310    1553
13435    world    1666    310    1553
13455    world    1686    310    1553
13435    world    1706    310    1553
13435    world    1726    310    1553
13435    world    1746    310    1553
13419    world    1326    310    1773
13419    world    1346    310    1773
13419    world    1366    310    1773
13419    world    1386    310    1773
13419    world    1406    310    1773
13419    world    1426    310    1773
13419    world    1446    310    1773
13419    world    1466    310    1773
13419    world    1486    310    1773
13419    world    1506    310    1773
13419    world    1526    310    1773
13419    world    1546    310    1773
13419    world    1566    310    1773
13419    world    1586    310    1773
13419    world    1606    310    1773
13419    world    1626    310    1773
13419    world    1646    310    1773
13419    world    1666    310    1773
13419    world    1686    310    1773
13419    world    1706    310    1773
13419    world    1726    310    1773
13419    world    1746    310    1773
13411    world    1326    310    1753
13411    world    1346    310    1753
13411    world    1366    310    1753
13411    world    1386    310    1753
13411    world    1406    310    1753
13411    world    1426    310    1753
13411    world    1446    310    1753
13411    world    1466    310    1753
13411    world    1486    310    1753
13411    world    1506    310    1753
13411    world    1526    310    1753
13411    world    1546    310    1753
13411    world    1566    310    1753
13411    world    1586    310    1753
13411    world    1606    310    1753
13411    world    1626    310    1753
13411    world    1646    310    1753
13411    world    1666    310    1753
13411    world    1686    310    1753
13411    world    1706    310    1753
13411    world    1726    310    1753
13411    world    1746    310    1753
13411    world    1326    310    1733
13411    world    1346    310    1733
13411    world    1366    310    1733
13411    world    1386    310    1733
13411    world    1406    310    1733
13411    world    1426    310    1733
13411    world    1446    310    1733
13411    world    1466    310    1733
13411    world    1486    310    1733
13411    world    1506    310    1733
13411    world    1526    310    1733
13411    world    1546    310    1733
13411    world    1566    310    1733
13411    world    1586    310    1733
13411    world    1606    310    1733
13411    world    1626    310    1733
13411    world    1646    310    1733
13411    world    1666    310    1733
13432    world    1686    310    1733
13411    world    1706    310    1733
13411    world    1726    310    1733
13411    world    1746    310    1733
13418    world    1326    310    1713
13418    world    1346    310    1713
13418    world    1366    310    1713
13418    world    1386    310    1713
13418    world    1406    310    1713
13418    world    1426    310    1713
13418    world    1446    310    1713
13418    world    1466    310    1713
13418    world    1486    310    1713
13418    world    1506    310    1713
13418    world    1526    310    1713
13418    world    1546    310    1713
13418    world    1566    310    1713
13418    world    1586    310    1713
13418    world    1606    310    1713
13418    world    1626    310    1713
13418    world    1646    310    1713
13418    world    1666    310    1713
13418    world    1686    310    1713
13418    world    1706    310    1713
13418    world    1726    310    1713
13418    world    1746    310    1713
13410    world    1326    310    1693
13410    world    1346    310    1693
13410    world    1366    310    1693
13410    world    1386    310    1693
13410    world    1406    310    1693
13410    world    1426    310    1693
13410    world    1446    310    1693
13410    world    1466    310    1693
13410    world    1486    310    1693
13410    world    1506    310    1693
13410    world    1526    310    1693
13410    world    1546    310    1693
13410    world    1566    310    1693
13410    world    1586    310    1693
13410    world    1606    310    1693
13410    world    1626    310    1693
13410    world    1646    310    1693
13410    world    1666    310    1693
13410    world    1686    310    1693
13410    world    1706    310    1693
13410    world    1726    310    1693
13410    world    1746    310    1693
13410    world    1326    310    1673
13410    world    1346    310    1673
13410    world    1366    310    1673
13410    world    1386    310    1673
13410    world    1406    310    1673
13410    world    1426    310    1673
13410    world    1446    310    1673
13410    world    1466    310    1673
13410    world    1486    310    1673
13410    world    1506    310    1673
13410    world    1526    310    1673
13410    world    1546    310    1673
13410    world    1566    310    1673
13410    world    1586    310    1673
13410    world    1606    310    1673
13410    world    1626    310    1673
13410    world    1646    310    1673
13410    world    1666    310    1673
13431    world    1686    310    1673
13410    world    1706    310    1673
13410    world    1726    310    1673
13410    world    1746    310    1673
13419    world    1326    310    1653
13419    world    1346    310    1653
13419    world    1366    310    1653
13419    world    1386    310    1653
13419    world    1406    310    1653
13419    world    1426    310    1653
13419    world    1446    310    1653
13419    world    1466    310    1653
13419    world    1486    310    1653
13419    world    1506    310    1653
13419    world    1526    310    1653
13419    world    1546    310    1653
13419    world    1566    310    1653
13419    world    1586    310    1653
13419    world    1606    310    1653
13419    world    1626    310    1653
13419    world    1646    310    1653
13419    world    1666    310    1653
13419    world    1686    310    1653
13419    world    1706    310    1653
13419    world    1726    310    1653
13419    world    1746    310    1653
13411    world    1326    310    1633
13411    world    1346    310    1633
13411    world    1366    310    1633
13411    world    1386    310    1633
13411    world    1406    310    1633
13411    world    1426    310    1633
13411    world    1446    310    1633
13411    world    1466    310    1633
13411    world    1486    310    1633
13411    world    1506    310    1633
13411    world    1526    310    1633
13411    world    1546    310    1633
13411    world    1566    310    1633
13411    world    1586    310    1633
13411    world    1606    310    1633
13411    world    1626    310    1633
13411    world    1646    310    1633
13411    world    1666    310    1633
13411    world    1686    310    1633
13411    world    1706    310    1633
13411    world    1726    310    1633
13411    world    1746    310    1633
13411    world    1326    310    1613
13411    world    1346    310    1613
13411    world    1366    310    1613
13411    world    1386    310    1613
13411    world    1406    310    1613
13411    world    1426    310    1613
13411    world    1446    310    1613
13411    world    1466    310    1613
13411    world    1486    310    1613
13411    world    1506    310    1613
13411    world    1526    310    1613
13411    world    1546    310    1613
13411    world    1566    310    1613
13411    world    1586    310    1613
13411    world    1606    310    1613
13411    world    1626    310    1613
13411    world    1646    310    1613
13411    world    1666    310    1613
13432    world    1686    310    1613
13411    world    1706    310    1613
13411    world    1726    310    1613
13411    world    1746    310    1613
13418    world    1326    310    1593
13418    world    1346    310    1593
13418    world    1366    310    1593
13418    world    1386    310    1593
13418    world    1406    310    1593
13418    world    1426    310    1593
13418    world    1446    310    1593
13418    world    1466    310    1593
13418    world    1486    310    1593
13418    world    1506    310    1593
13418    world    1526    310    1593
13418    world    1546    310    1593
13418    world    1566    310    1593
13418    world    1586    310    1593
13418    world    1606    310    1593
13418    world    1626    310    1593
13418    world    1646    310    1593
13418    world    1666    310    1593
13418    world    1686    310    1593
13418    world    1706    310    1593
13418    world    1726    310    1593
13418    world    1746    310    1593
13410    world    1326    310    1573
13410    world    1346    310    1573
13410    world    1366    310    1573
13410    world    1386    310    1573
13410    world    1406    310    1573
13410    world    1426    310    1573
13410    world    1446    310    1573
13410    world    1466    310    1573
13410    world    1486    310    1573
13410    world    1506    310    1573
13410    world    1526    310    1573
13410    world    1546    310    1573
13410    world    1566    310    1573
13410    world    1586    310    1573
13410    world    1606    310    1573
13410    world    1626    310    1573
13410    world    1646    310    1573
13410    world    1666    310    1573
13410    world    1686    310    1573
13410    world    1706    310    1573
13410    world    1726    310    1573
13410    world    1746    310    1573
13410    world    1326    310    1553
13410    world    1346    310    1553
13410    world    1366    310    1553
13410    world    1386    310    1553
13410    world    1406    310    1553
13410    world    1426    310    1553
13410    world    1446    310    1553
13410    world    1466    310    1553
13410    world    1486    310    1553
13410    world    1506    310    1553
13410    world    1526    310    1553
13410    world    1546    310    1553
13410    world    1566    310    1553
13410    world    1586    310    1553
13410    world    1606    310    1553
13410    world    1626    310    1553
13410    world    1646    310    1553
13410    world    1666    310    1553
13431    world    1686    310    1553
13410    world    1706    310    1553
13410    world    1726    310    1553
13410    world    1746    310    1553
13386    world    1326    310    1773
13386    world    1346    310    1773
13386    world    1366    310    1773
13386    world    1386    310    1773
13386    world    1406    310    1773
13386    world    1426    310    1773
13386    world    1446    310    1773
13386    world    1466    310    1773
13386    world    1486    310    1773
13386    world    1506    310    1773
13386    world    1526    310    1773
13386    world    1546    310    1773
13386    world    1566    310    1773
13386    world    1586    310    1773
13386    world    1606    310    1773
13386    world    1626    310    1773
13386    world    1646    310    1773
13386    world    1666    310    1773
13386    world    1686    310    1773
13386    world    1706    310    1773
13386    world    1726    310    1773
13386    world    1746    310    1773
13391    world    1326    310    1753
13391    world    1346    310    1753
13391    world    1366    310    1753
13391    world    1386    310    1753
13391    world    1406    310    1753
13391    world    1426    310    1753
13391    world    1446    310    1753
13391    world    1466    310    1753
13391    world    1486    310    1753
13391    world    1506    310    1753
13391    world    1526    310    1753
13391    world    1546    310    1753
13391    world    1566    310    1753
13391    world    1586    310    1753
13391    world    1606    310    1753
13391    world    1626    310    1753
13391    world    1646    310    1753
13391    world    1666    310    1753
13391    world    1686    310    1753
13391    world    1706    310    1753
13391    world    1726    310    1753
13391    world    1746    310    1753
13381    world    1326    310    1733
13381    world    1346    310    1733
13381    world    1366    310    1733
13381    world    1386    310    1733
13381    world    1406    310    1733
13381    world    1426    310    1733
13381    world    1446    310    1733
13381    world    1466    310    1733
13381    world    1486    310    1733
13381    world    1506    310    1733
13381    world    1526    310    1733
13381    world    1546    310    1733
13381    world    1566    310    1733
13381    world    1586    310    1733
13381    world    1606    310    1733
13381    world    1626    310    1733
13381    world    1646    310    1733
13381    world    1666    310    1733
13405    world    1686    310    1733
13381    world    1706    310    1733
13381    world    1726    310    1733
13381    world    1746    310    1733
13385    world    1326    310    1713
13385    world    1346    310    1713
13385    world    1366    310    1713
13385    world    1386    310    1713
13385    world    1406    310    1713
13385    world    1426    310    1713
13385    world    1446    310    1713
13385    world    1466    310    1713
13385    world    1486    310    1713
13385    world    1506    310    1713
13385    world    1526    310    1713
13385    world    1546    310    1713
13385    world    1566    310    1713
13385    world    1586    310    1713
13385    world    1606    310    1713
13385    world    1626    310    1713
13385    world    1646    310    1713
13385    world    1666    310    1713
13385    world    1686    310    1713
13385    world    1706    310    1713
13385    world    1726    310    1713
13385    world    1746    310    1713
13390    world    1326    310    1693
13390    world    1346    310    1693
13390    world    1366    310    1693
13390    world    1386    310    1693
13390    world    1406    310    1693
13390    world    1426    310    1693
13390    world    1446    310    1693
13390    world    1466    310    1693
13390    world    1486    310    1693
13390    world    1506    310    1693
13390    world    1526    310    1693
13390    world    1546    310    1693
13390    world    1566    310    1693
13390    world    1586    310    1693
13390    world    1606    310    1693
13390    world    1626    310    1693
13390    world    1646    310    1693
13390    world    1666    310    1693
13390    world    1686    310    1693
13390    world    1706    310    1693
13390    world    1726    310    1693
13390    world    1746    310    1693
13380    world    1326    310    1673
13380    world    1346    310    1673
13380    world    1366    310    1673
13380    world    1386    310    1673
13380    world    1406    310    1673
13380    world    1426    310    1673
13380    world    1446    310    1673
13380    world    1466    310    1673
13380    world    1486    310    1673
13380    world    1506    310    1673
13380    world    1526    310    1673
13380    world    1546    310    1673
13380    world    1566    310    1673
13380    world    1586    310    1673
13380    world    1606    310    1673
13380    world    1626    310    1673
13380    world    1646    310    1673
13380    world    1666    310    1673
13404    world    1686    310    1673
13380    world    1706    310    1673
13380    world    1726    310    1673
13380    world    1746    310    1673
13386    world    1326    310    1653
13386    world    1346    310    1653
13386    world    1366    310    1653
13386    world    1386    310    1653
13386    world    1406    310    1653
13386    world    1426    310    1653
13386    world    1446    310    1653
13386    world    1466    310    1653
13386    world    1486    310    1653
13386    world    1506    310    1653
13386    world    1526    310    1653
13386    world    1546    310    1653
13386    world    1566    310    1653
13386    world    1586    310    1653
13386    world    1606    310    1653
13386    world    1626    310    1653
13386    world    1646    310    1653
13386    world    1666    310    1653
13386    world    1686    310    1653
13386    world    1706    310    1653
13386    world    1726    310    1653
13386    world    1746    310    1653
13391    world    1326    310    1633
13391    world    1346    310    1633
13391    world    1366    310    1633
13391    world    1386    310    1633
13391    world    1406    310    1633
13391    world    1426    310    1633
13391    world    1446    310    1633
13391    world    1466    310    1633
13391    world    1486    310    1633
13391    world    1506    310    1633
13391    world    1526    310    1633
13391    world    1546    310    1633
13391    world    1566    310    1633
13391    world    1586    310    1633
13391    world    1606    310    1633
13391    world    1626    310    1633
13391    world    1646    310    1633
13391    world    1666    310    1633
13391    world    1686    310    1633
13391    world    1706    310    1633
13391    world    1726    310    1633
13391    world    1746    310    1633
13381    world    1326    310    1613
13381    world    1346    310    1613
13381    world    1366    310    1613
13381    world    1386    310    1613
13381    world    1406    310    1613
13381    world    1426    310    1613
13381    world    1446    310    1613
13381    world    1466    310    1613
13381    world    1486    310    1613
13381    world    1506    310    1613
13381    world    1526    310    1613
13381    world    1546    310    1613
13381    world    1566    310    1613
13381    world    1586    310    1613
13381    world    1606    310    1613
13381    world    1626    310    1613
13381    world    1646    310    1613
13381    world    1666    310    1613
13381    world    1706    310    1613
13381    world    1726    310    1613
13381    world    1746    310    1613
13385    world    1326    310    1593
13385    world    1346    310    1593
13385    world    1366    310    1593
13385    world    1386    310    1593
13385    world    1406    310    1593
13385    world    1426    310    1593
13385    world    1446    310    1593
13385    world    1466    310    1593
13385    world    1486    310    1593
13385    world    1506    310    1593
13385    world    1526    310    1593
13385    world    1546    310    1593
13385    world    1566    310    1593
13385    world    1586    310    1593
13385    world    1606    310    1593
13385    world    1626    310    1593
13385    world    1646    310    1593
13385    world    1666    310    1593
13385    world    1686    310    1593
13385    world    1706    310    1593
13385    world    1726    310    1593
13385    world    1746    310    1593
13390    world    1326    310    1573
13390    world    1346    310    1573
13390    world    1366    310    1573
13390    world    1386    310    1573
13390    world    1406    310    1573
13390    world    1426    310    1573
13390    world    1446    310    1573
13390    world    1466    310    1573
13390    world    1486    310    1573
13390    world    1506    310    1573
13390    world    1526    310    1573
13390    world    1546    310    1573
13390    world    1566    310    1573
13390    world    1586    310    1573
13390    world    1606    310    1573
13390    world    1626    310    1573
13390    world    1646    310    1573
13390    world    1666    310    1573
13390    world    1686    310    1573
13390    world    1706    310    1573
13390    world    1726    310    1573
13390    world    1746    310    1573
13380    world    1326    310    1553
13380    world    1346    310    1553
13380    world    1366    310    1553
13380    world    1386    310    1553
13380    world    1406    310    1553
13380    world    1426    310    1553
13380    world    1446    310    1553
13380    world    1466    310    1553
13380    world    1486    310    1553
13380    world    1506    310    1553
13380    world    1526    310    1553
13380    world    1546    310    1553
13380    world    1566    310    1553
13380    world    1586    310    1553
13380    world    1606    310    1553
13380    world    1626    310    1553
13380    world    1646    310    1553
13380    world    1666    310    1553
13404    world    1686    310    1553
13380    world    1706    310    1553
13380    world    1726    310    1553
13380    world    1746    310    1553
13375    world    1326    310    1773
13375    world    1346    310    1773
13375    world    1366    310    1773
13375    world    1386    310    1773
13375    world    1406    310    1773
13375    world    1426    310    1773
13375    world    1446    310    1773
13375    world    1466    310    1773
13375    world    1486    310    1773
13375    world    1506    310    1773
13375    world    1526    310    1773
13375    world    1546    310    1773
13375    world    1566    310    1773
13375    world    1586    310    1773
13375    world    1606    310    1773
13375    world    1626    310    1773
13375    world    1646    310    1773
13375    world    1666    310    1773
13375    world    1686    310    1773
13375    world    1706    310    1773
13375    world    1726    310    1773
13375    world    1746    310    1773
13374    world    1326    310    1753
13374    world    1346    310    1753
13374    world    1366    310    1753
13374    world    1386    310    1753
13374    world    1406    310    1753
13374    world    1426    310    1753
13374    world    1446    310    1753
13374    world    1466    310    1753
13374    world    1486    310    1753
13374    world    1506    310    1753
13374    world    1526    310    1753
13374    world    1546    310    1753
13374    world    1566    310    1753
13374    world    1586    310    1753
13374    world    1606    310    1753
13374    world    1626    310    1753
13374    world    1646    310    1753
13374    world    1666    310    1753
13374    world    1686    310    1753
13374    world    1706    310    1753
13374    world    1726    310    1753
13374    world    1746    310    1753
13373    world    1326    310    1733
13373    world    1346    310    1733
13373    world    1366    310    1733
13373    world    1386    310    1733
13373    world    1406    310    1733
13373    world    1426    310    1733
13373    world    1446    310    1733
13373    world    1466    310    1733
13373    world    1486    310    1733
13373    world    1506    310    1733
13373    world    1526    310    1733
13373    world    1546    310    1733
13373    world    1566    310    1733
13373    world    1586    310    1733
13373    world    1606    310    1733
13373    world    1626    310    1733
13373    world    1646    310    1733
13373    world    1666    310    1733
13379    world    1686    310    1733
13373    world    1706    310    1733
13373    world    1726    310    1733
13373    world    1746    310    1733
13375    world    1326    310    1713
13375    world    1346    310    1713
13375    world    1366    310    1713
13375    world    1386    310    1713
13375    world    1406    310    1713
13375    world    1426    310    1713
13375    world    1446    310    1713
13375    world    1466    310    1713
13375    world    1486    310    1713
13375    world    1506    310    1713
13375    world    1526    310    1713
13375    world    1546    310    1713
13375    world    1566    310    1713
13375    world    1586    310    1713
13375    world    1606    310    1713
13375    world    1626    310    1713
13375    world    1646    310    1713
13375    world    1666    310    1713
13375    world    1686    310    1713
13375    world    1706    310    1713
13375    world    1726    310    1713
13375    world    1746    310    1713
13374    world    1326    310    1693
13374    world    1346    310    1693
13374    world    1366    310    1693
13374    world    1386    310    1693
13374    world    1406    310    1693
13374    world    1426    310    1693
13374    world    1446    310    1693
13374    world    1466    310    1693
13374    world    1486    310    1693
13374    world    1506    310    1693
13374    world    1526    310    1693
13374    world    1546    310    1693
13374    world    1566    310    1693
13374    world    1586    310    1693
13374    world    1606    310    1693
13374    world    1626    310    1693
13374    world    1646    310    1693
13374    world    1666    310    1693
13374    world    1686    310    1693
13374    world    1706    310    1693
13374    world    1726    310    1693
13374    world    1746    310    1693
13373    world    1326    310    1673
13373    world    1346    310    1673
13373    world    1366    310    1673
13373    world    1386    310    1673
13373    world    1406    310    1673
13373    world    1426    310    1673
13373    world    1446    310    1673
13373    world    1466    310    1673
13373    world    1486    310    1673
13373    world    1506    310    1673
13373    world    1526    310    1673
13373    world    1546    310    1673
13373    world    1566    310    1673
13373    world    1586    310    1673
13373    world    1606    310    1673
13373    world    1626    310    1673
13373    world    1646    310    1673
13373    world    1666    310    1673
13378    world    1686    310    1673
13373    world    1706    310    1673
13373    world    1726    310    1673
13373    world    1746    310    1673
13375    world    1326    310    1653
13375    world    1346    310    1653
13375    world    1366    310    1653
13375    world    1386    310    1653
13375    world    1406    310    1653
13375    world    1426    310    1653
13375    world    1446    310    1653
13375    world    1466    310    1653
13375    world    1486    310    1653
13375    world    1506    310    1653
13375    world    1526    310    1653
13375    world    1546    310    1653
13375    world    1566    310    1653
13375    world    1586    310    1653
13375    world    1606    310    1653
13375    world    1626    310    1653
13375    world    1646    310    1653
13375    world    1666    310    1653
13375    world    1686    310    1653
13375    world    1706    310    1653
13375    world    1726    310    1653
13375    world    1746    310    1653
13374    world    1326    310    1633
13374    world    1346    310    1633
13374    world    1366    310    1633
13374    world    1386    310    1633
13374    world    1406    310    1633
13374    world    1426    310    1633
13374    world    1446    310    1633
13374    world    1466    310    1633
13374    world    1486    310    1633
13374    world    1506    310    1633
13374    world    1526    310    1633
13374    world    1546    310    1633
13374    world    1566    310    1633
13374    world    1586    310    1633
13374    world    1606    310    1633
13374    world    1626    310    1633
13374    world    1646    310    1633
13374    world    1666    310    1633
13374    world    1686    310    1633
13374    world    1706    310    1633
13374    world    1726    310    1633
13374    world    1746    310    1633
13373    world    1326    310    1613
13373    world    1346    310    1613
13373    world    1366    310    1613
13373    world    1386    310    1613
13373    world    1406    310    1613
13373    world    1426    310    1613
13373    world    1446    310    1613
13373    world    1466    310    1613
13373    world    1486    310    1613
13373    world    1506    310    1613
13373    world    1526    310    1613
13373    world    1546    310    1613
13373    world    1566    310    1613
13373    world    1586    310    1613
13373    world    1606    310    1613
13373    world    1626    310    1613
13373    world    1646    310    1613
13373    world    1666    310    1613
13379    world    1686    310    1613
13373    world    1706    310    1613
13373    world    1726    310    1613
13373    world    1746    310    1613
13375    world    1326    310    1593
13375    world    1346    310    1593
13375    world    1366    310    1593
13375    world    1386    310    1593
13375    world    1406    310    1593
13375    world    1426    310    1593
13375    world    1446    310    1593
13375    world    1466    310    1593
13375    world    1486    310    1593
13375    world    1506    310    1593
13375    world    1526    310    1593
13375    world    1546    310    1593
13375    world    1566    310    1593
13375    world    1586    310    1593
13375    world    1606    310    1593
13375    world    1626    310    1593
13375    world    1646    310    1593
13375    world    1666    310    1593
13375    world    1686    310    1593
13375    world    1706    310    1593
13375    world    1726    310    1593
13375    world    1746    310    1593
13374    world    1326    310    1573
13374    world    1346    310    1573
13374    world    1366    310    1573
13374    world    1386    310    1573
13374    world    1406    310    1573
13374    world    1426    310    1573
13374    world    1446    310    1573
13374    world    1466    310    1573
13374    world    1486    310    1573
13374    world    1506    310    1573
13374    world    1526    310    1573
13374    world    1546    310    1573
13374    world    1566    310    1573
13374    world    1586    310    1573
13374    world    1606    310    1573
13374    world    1626    310    1573
13374    world    1646    310    1573
13374    world    1666    310    1573
13374    world    1686    310    1573
13374    world    1706    310    1573
13374    world    1726    310    1573
13374    world    1746    310    1573
13373    world    1326    310    1553
13373    world    1346    310    1553
13373    world    1366    310    1553
13373    world    1386    310    1553
13373    world    1406    310    1553
13373    world    1426    310    1553
13373    world    1446    310    1553
13373    world    1466    310    1553
13373    world    1486    310    1553
13373    world    1506    310    1553
13373    world    1526    310    1553
13373    world    1546    310    1553
13373    world    1566    310    1553
13373    world    1586    310    1553
13373    world    1606    310    1553
13373    world    1626    310    1553
13373    world    1646    310    1553
13373    world    1666    310    1553
13378    world    1686    310    1553
13373    world    1706    310    1553
13373    world    1726    310    1553
13373    world    1746    310    1553
0    world    1555    222.51    1578.38
11242    world    1812.5    284.9    2136.97
2901    world    1582.42    284.79    2169.69
3842    world    2019.46    218.58    2437.18
3569    world    1813.18    285.26    2195.46
3128    world    1810.55    284.9    2144.56
2301    world    1320.66    321.96    1947.37
2605    world    1369.14    318.42    2058.87
3012    world    1558.97    289.64    2171.86
2268    world    1869.48    264.02    2329.51
2269    world    1870.42    263.8    2331.04
3817    world    1989.62    291.23    2161.62
3798    world    1657.4    275.87    2182.02
27544    world    1421.36    236.19    1567.49
27544    world    1607.88    240.49    1621.84
27543    world    1615.58    263.55    1698.67
27542    world    1418.86    285.75    1671.76
27542    world    1756.36    261.15    1638.19
27373    world    1487.17    230.93    1619.15
27373    world    1590.07    226.49    1569.52
27373    world    1852.77    258.46    1606.36
27373    world    1812.8    222.42    1811.25
27372    world    1963.43    229.9    1712.65
27372    world    1835.39    221.76    1774.06
27372    world    1471.37    276.32    1848.38
27372    world    1402.39    283.24    1802.09
27371    world    1209.56    333.64    1691.04
27371    world    1323.18    303.02    1777.77
27371    world    1434.71    261.66    1645.18
27371    world    1790.65    223.67    1827.42
27373    world    1217.46    333.02    1589.29
27373    world    1243.96    320.49    1746.78
27373    world    1597.37    259.18    1851.96
27373    world    1896.56    226.55    1800.1
27372    world    1167.08    340.83    1743.3
27372    world    1302.25    310.01    1837.35
27372    world    1337.36    294.66    1727.63
27371    world    1042.36    464.92    1555.89
27371    world    1280.12    303.94    1566.33
27371    world    1420.33    280.47    1758.64
27371    world    1702.56    246.38    1729.98
27371    world    1915.63    236.86    1594.88
3090    world    2006.2    225.26    1727.63
3090    world    1607.1    260.74    1687.63
3090    world    1825.07    278.38    2015.02
3090    world    1959.52    290.64    2209.76
3090    world    1193.06    367.34    2394.76
3090    world    1646.05    258.87    2017.32
3090    world    1280.24    328.5    2059.53
3090    world    1381.42    304.43    1881.42
3089    world    1101.65    361.81    1732.43
3089    world    1605.78    285.95    2222.48
3085    world    1835.33    266.73    2303.07
3085    world    1638.46    290.52    2315.81
3085    world    1430.08    332.31    2402.73
3085    world    1679.72    267.57    2109.59
3085    world    1599.31    259.41    1855.39
3085    world    1316.82    311    1652.46
3085    world    1378.1    311.52    2009.23
3085    world    1631.72    238.49    1571.44
3084    world    1882.41    234.91    1657.04
3084    world    1225.56    344.99    2330.28
3540    world    1936.69    254.71    2331.65
3542    world    1936.69    254.71    2331.65
3545    world    1936.69    254.71    2331.65
3540    world    1405.08    323.42    2218
3542    world    1405.08    323.42    2218
3545    world    1405.08    323.42    2218
3540    world    1715.26    244.49    1953.73
3542    world    1715.26    244.49    1953.73
3545    world    1715.26    244.49    1953.73
3540    world    1629.85    248.62    1625.46
3542    world    1629.85    248.62    1625.46
3545    world    1629.85    248.62    1625.46
3540    world    1517.15    263.12    1838
3542    world    1517.15    263.12    1838
3545    world    1517.15    263.12    1838
3096    world    1157.62    367.33    1664.52
3099    world    1157.62    367.33    1664.52
3102    world    1157.62    367.33    1664.52
3535    world    1157.62    367.33    1664.52
3096    world    1914.5    285.74    2229.86
3099    world    1914.5    285.74    2229.86
3102    world    1914.5    285.74    2229.86
3535    world    1914.5    285.74    2229.86
3096    world    1413.03    288.6    1724.95
3099    world    1413.03    288.6    1724.95
3102    world    1413.03    288.6    1724.95
3535    world    1413.03    288.6    1724.95
3096    world    1771.17    245.35    1711.85
3099    world    1771.17    245.35    1711.85
3102    world    1771.17    245.35    1711.85
3535    world    1771.17    245.35    1711.85
3096    world    1654.81    300.2    2380.63
3099    world    1654.81    300.2    2380.63
3102    world    1654.81    300.2    2380.63
3535    world    1654.81    300.2    2380.63
3095    world    1974.09    273.21    1991.25
3098    world    1974.09    273.21    1991.25
3103    world    1974.09    273.21    1991.25
3536    world    1974.09    273.21    1991.25
3095    world    1503.43    301.99    2006.38
3098    world    1503.43    301.99    2006.38
3103    world    1503.43    301.99    2006.38
3536    world    1503.43    301.99    2006.38
3095    world    1635.75    256.66    1751.29
3098    world    1635.75    256.66    1751.29
3103    world    1635.75    256.66    1751.29
3536    world    1635.75    256.66    1751.29
3095    world    1760.1    272.49    2377.38
3098    world    1760.1    272.49    2377.38
3103    world    1760.1    272.49    2377.38
3536    world    1760.1    272.49    2377.38
3080    world    1756.52    274.41    2421.34
3080    world    1873.29    283.41    2244.93
